Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_1206_3216Metric,87.400000,-106.400000,90.000000,Top
C2,100nF,C_0603_1608Metric,89.550000,-106.725000,90.000000,Top
C3,10nF,C_0402_1005Metric,94.450000,-105.400000,0.000000,Top
C4,10uF,C_0402_1005Metric,101.000000,-108.840000,-90.000000,Top
C5,4.7nF,C_0402_1005Metric,94.500000,-114.000000,0.000000,Top
C6,33pF,C_0402_1005Metric,95.100000,-112.400000,-90.000000,Top
C7,100nF,C_0402_1005Metric,90.700000,-111.500000,0.000000,Top
C8,100nF,C_0402_1005Metric,92.500000,-116.500000,0.000000,Top
C9,100nF,C_0402_1005Metric,75.400000,-121.000000,90.000000,Top
C10,100nF,C_0402_1005Metric,75.200000,-118.200000,180.000000,Top
C11,22nF,C_0402_1005Metric,65.333400,-117.575000,-90.000000,Top
C12,220uF/50V,CP_Elec_10x10.5,63.600000,-106.800000,-90.000000,Top
C13,100nF,C_0402_1005Metric,64.000000,-116.175000,180.000000,Top
C14,10uF,C_0402_1005Metric,102.000000,-108.840000,-90.000000,Top
C25,2.2uF,C_1206_3216Metric,75.000000,-102.200000,0.000000,Top
C26,100nF,C_0603_1608Metric,74.200000,-104.200000,0.000000,Top
C27,100nF,C_0402_1005Metric,76.400000,-108.500000,-90.000000,Top
C28,10uF,C_0805_2012Metric,80.500000,-106.500000,0.000000,Top
C29,10uF,C_0805_2012Metric,80.500000,-104.500000,0.000000,Top
D1,LED_R,LED_0603_1608Metric,90.000000,-122.000000,0.000000,Top
D2,SS36,D_SMA,62.000000,-98.000000,180.000000,Top
D3,SS36,D_SMA,86.770000,-102.175000,0.000000,Top
L1,100uH,L_Sunlord_SWPA4018S,97.500000,-109.000000,0.000000,Top
L2,10uH,L_Changjiang_FNR4030S,79.400000,-110.500000,0.000000,Top
R1,143k,R_0402_1005Metric,89.250000,-109.400000,180.000000,Top
R2,31.6k,R_0402_1005Metric,101.000000,-111.500000,180.000000,Top
R3,10k,R_0402_1005Metric,101.000000,-112.700000,0.000000,Top
R4,26.1k,R_0402_1005Metric,93.900000,-112.400000,-90.000000,Top
R7,10k,R_0402_1005Metric,76.600000,-114.400000,0.000000,Top
R8,10k,R_0402_1005Metric,75.200000,-117.200000,180.000000,Top
R9,10k,R_0402_1005Metric,65.110000,-119.200000,0.000000,Top
R10,10k,R_0402_1005Metric,74.600000,-114.400000,0.000000,Top
R11,10k,R_0402_1005Metric,96.500000,-105.000000,0.000000,Top
R12,10k,R_0402_1005Metric,98.500000,-105.000000,0.000000,Top
R13,10k,R_0402_1005Metric,85.800000,-118.700000,-90.000000,Top
R14,10k,R_0402_1005Metric,84.800000,-118.700000,90.000000,Top
R15,1k,R_0402_1005Metric,87.500000,-121.800000,0.000000,Top
R16,100R,R_0402_1005Metric,53.800000,-120.000000,0.000000,Top
R17,100R,R_0402_1005Metric,53.710000,-122.000000,0.000000,Top
R18,100R,R_0402_1005Metric,47.400000,-120.000000,0.000000,Top
R19,100R,R_0402_1005Metric,47.400000,-122.000000,0.000000,Top
R20,10k,R_0402_1005Metric,92.800000,-121.200000,90.000000,Top
R21,120R,R_1206_3216Metric,89.200000,-124.000000,0.000000,Top
R22,100k,R_0402_1005Metric,71.200000,-103.910000,90.000000,Top
R23,40.2k,R_0402_1005Metric,78.000000,-104.510000,-90.000000,Top
R24,10k,R_0402_1005Metric,78.000000,-106.500000,-90.000000,Top
U2,TPS54061DRBT,Texas_S-PVSON-N8,92.500000,-108.375000,0.000000,Top
U3,DRV8876PWPR,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm,69.733400,-116.975000,180.000000,Top
U4,STM32G030F6P6,TSSOP-20_4.4x6.5mm_P0.65mm,80.000000,-118.400000,0.000000,Top
U5,SIT3088EEUA,MSOP-8_3x3mm_P0.65mm,89.600000,-118.600000,0.000000,Top
U6,SRV05-4,SOT-23-6,50.600000,-121.000000,0.000000,Top
U7,LMR38020SDDAR,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,72.750000,-108.930000,-90.000000,Top
